毛泽东
周恩来
刘少奇
朱德
彭德怀
林彪
刘伯承
陈毅
贺龙
聂荣臻
徐向前
罗荣桓
叶剑英
李大钊
陈独秀
孙中山
孙文
孙逸仙
邓小平
陈云
江泽民
李鹏
朱镕基
李瑞环
尉健行
李岚清
胡锦涛
罗干
温家宝
吴邦国
曾庆红
贾庆林
黄菊
吴官正
李长春
吴仪
回良玉
曾培炎
周永康
曹刚川
唐家璇
华建敏
陈至立
陈良宇
张德江
张立昌
俞正声
王乐泉
刘云山
王刚
王兆国
刘淇
贺国强
郭伯雄
胡耀邦
李登辉
连战
陈水扁
宋楚瑜
吕秀莲
郁慕明
蒋介石
蒋中正
蒋经国
马英九
习近平
李克强
吴帮国
无帮国
无邦国
无帮过
瘟家宝
假庆林
甲庆林
假青林
离长春
习远平
袭近平
李磕墙
贺过墙
和锅枪
粥永康
轴永康
肘永康
周健康
粥健康
周小康
布什
布莱尔
小泉
纯一郎
萨马兰奇
安南
阿拉法特
普京
默克尔
克林顿
里根
尼克松
林肯
杜鲁门
赫鲁晓夫
列宁
斯大林
马克思
恩格斯
金正日
金日成
萨达姆
胡志明
西哈努克
希拉克
撒切尔
阿罗约
曼德拉
卡斯特罗
富兰克林
华盛顿
艾森豪威尔
拿破仑
亚历山大
路易
拉姆斯菲尔德
劳拉
鲍威尔
奥巴马
本拉登
奥马尔
柴玲
达赖喇嘛
江青
张春桥
姚文元
王洪文
东条英机
希特勒
墨索里尼
冈村秀树
冈村宁次
高丽朴
赵紫阳
王丹
沃尔开西
李洪志
李大师
赖昌星
马加爵
班禅
额尔德尼
山本五十六
阿扁
阿扁万岁
热那亚
热比娅
六四
六四运动
美国之音
密宗
民国
民进党
民运
民主
民主潮
摩门教
纳粹
南华早报
南蛮
明慧网
起义
亲民党
瘸腿帮
人民报
法轮功
法轮大法
打倒共产党
台独万岁
圣战
示威
台独
台独分子
台联
台湾民国
台湾岛国
台湾国
台湾独立
太子党
天安门事件
屠杀
新党
新疆独立
新疆分裂
新疆国
疆独
西藏独立
西藏分裂
西藏国
藏独
藏青会
藏妇会
学潮
学运
一党专政
一中一台
两个中国
一贯道
游行
造反
真善忍
镇压
政变
政治
政治反对派
政治犯
中共
共产党
反党
反共
政府
民主党
中国之春
转法轮
自焚
共党
共匪
苏家屯
基地组织
塔利班
东亚病夫
支那
高治联
高自联
专政
专制
世界维吾尔大会
核工业基地
核武器
铀
原子弹
氢弹
导弹
核潜艇
大参考
小参考
国内动态清样
多维
河殇
穆罕默德
耶和华
耶稣
伊斯兰
真主安拉
白莲教
天主教
基督教
东正教
大法
法轮
真理教
走向圆满
黄大仙
跳大神
神汉
神婆
大卫教
阎王
黑白无常
牛头马面
高丽棒子
蒙古鞑子
老毛子
回民吃猪肉
谋杀
杀人
吸毒
贩毒
赌博
拐卖
走私
卖淫
强奸
轮奸
抢劫
先奸后杀
下注
抽头
坐庄
赌马
赌球
筹码
老虎机
轮盘赌
安非他命
大麻
可卡因
海洛因
冰毒
摇头丸
杜冷丁
鸦片
罂粟
迷幻药
白粉
嗑药
AIDS
DICK
penis
sex
SM
屙
爱滋
淋病
梅毒
爱液
屄
逼
臭机八
臭鸡巴
吹喇叭
吹箫
催情药
屌
肛交
肛门
龟头
黄色
机八
机巴
鸡八
鸡巴
机掰
鸡叭
鸡鸡
鸡掰
鸡奸
妓女
奸
茎
精液
精子
尻
口交
滥交
乱交
屁眼
嫖娼
强奸犯
情色
肉棒
乳房
乳峰
乳交
乳头
乳晕
三陪
色情
射精
手淫
威而钢
威而柔
伟哥
性高潮
性交
性虐
性欲
穴
颜射
阳物
一夜情
阴部
阴唇
阴道
阴蒂
阴核
阴户
阴茎
阴门
淫
淫秽
淫乱
淫水
淫娃
淫液
淫汁
淫穴
淫洞
援交妹
做爱
梦遗
阳痿
早泄
奸淫
Bitch
bt
cao
FUCK
kao
NMD
NND
sb
shit
SUCK
tmd
tnnd
K他命
白痴
笨蛋
变态
婊子
操她妈
操妳妈
操你
操你妈
操他妈
草你
肏
册那
侧那
测拿
插
蠢猪
荡妇
发骚
废物
干她妈
干妳
干妳娘
干你
干你妈
干你妈B
干你妈逼
干你娘
干他妈
狗娘养的
滚
贱货
贱人
烂人
老母
老土
妈比
妈的
马的
妳老母的
妳娘的
你妈逼
破鞋
仆街
去她妈
去妳的
去妳妈
去你的
去你妈
去死
去他妈
日
日你
赛她娘
赛妳娘
赛你娘
赛他娘
骚货
傻B
傻比
傻子
上妳
上你
神经病
屎
屎妳娘
屎你娘
他妈的
王八蛋
我操
我日
乡巴佬
猪猡
干
尿
掯
操
骑你
湿了
操他
操她
骑他
骑她
欠骑
欠人骑
来爽我
来插我
干他
干她
干死
干爆
干机
机叭
臭鸡
臭机
烂鸟
览叫
阳具
肉壶
奶子
摸咪咪
干鸡
干入
小穴
插你
爽你
干干
干X
他干
干它
干牠
干您
干汝
干林
操林
干尼
操尼
我咧干
干勒
干我
干到
干啦
干爽
欠干
狗干
我干
来干
轮干
轮流干
干一干
援交
奸暴
再奸
我奸
奸你
奸他
奸她
奸一奸
淫湿
鸡歪
臭西
遗精
烂逼
大血比
叼你妈
靠你妈
戳你
逼你老母
挨球
我日你
草拟妈
卖逼
狗操卖逼
日死
奶娘
他娘
她娘
骚B
你妈了妹
逼毛
插你妈
叼你
渣波波
嫩b
weelaa
缔顺
帝顺
蒂顺
系统消息
午夜
看下
草泥马
法克鱿
雅蠛蝶
潜烈蟹
菊花蚕
尾申鲸
吉跋猫
搞栗棒
吟稻雁
达菲鸡
ML
3P
群P
马勒戈壁
双飞
urban
煞笔
urban-rivals
rivals
UR
她妈
牛逼
牛B，牛比
傻逼
装逼
装B
日你妈
不玩了
删号
卖号
 删 号
妈逼
草你妈
T.M.D
JB
出售账号
出售此号
U/R
U-R
j8
吗的
8仙
狗日
出售神符
毛泽东
NPC
*法*轮*功*
*李*洪*志*阿扁
阿拉
安全局
澳洲光明网
八九
八九风波
办理文凭
办理证件
包皮
保钓
保监会
保密局
鸨
鲍岳桥
暴动
暴乱
暴徒
北京之春
贝肉
本?拉登
苯比
笨屄
笨逼
屄毛
逼样
比毛
婊
宾周
波霸
博讯
薄一波
布雷尔
财政部
参事室
操GM
操XX
操逼
操比
操蛋
操你八辈祖宗
操你妈屄
草的你妈
草妈
测绘局
插GM
插妳
插深些
产权局
朝鲜
车臣
车仑
陈功
陈希同
陈晓宁
成人电影
成人片
吃大便
吃屎
迟浩田
赤匪
抽插
抽你丫的
臭化西
出售假币
出售枪支
出售手枪
春药
粗制吗啡
达赖
打炮
大B
大逼
大便
大波波
大麻树脂
大麻油
大师
戴维教
大学骚乱
大血B
呆卵
戴海静
戴红
戴晶
党主席
档案局
盗窃犯
道教
帝国主义
电监会
屌7
屌鸠
屌毛
屌妳
屌七
屌西
钓鱼台
丁关根
丁子霖
东北独立
东升
东突
东突暴动和独立
东突组织
董建华
董贱华
董文华
懂文华
独立
独立台湾会
二B
二屄
二逼
二乙基酰胺发抡
发抡功
发伦
发伦功
发轮
发论
发论公
发论功
法(轮)功
法*轮*功
法功
法愣
法仑
法西斯
法制办
反动
反革命
反华
反恐委员会
反日
反政府
分裂祖国
佛教
佛展千手法
佛祖
斧头镰刀
阝月
傅鹏
傅作义
干GM
干拎娘
干妳老母
干妳妈
干七八
干死你
肛
港澳办
高俊
高校暴乱
高校群体事件
高校骚乱
睾
睾丸
膏药旗
弓虽女干
公安
公安部
公安局
共产主义
共狗
狗b
狗操
狗卵
狗娘
狗屁
狗日的
狗屎
观世音
官逼民反
官商勾结
龟儿子
龟公
龟孙子
鬼村
国安局
国防部
国防科工委
国管局
国际法院
国家民委
国家主席
国家主要部委
国民党
国民党万岁
海洋局
何候华
黑社会
黑手党
红卫兵
洪兴
洪志
后庭
胡XX
胡紧涛
胡紧掏
胡紧套
胡锦淘
胡乔木
胡主席
花柳
华国锋
换妻
黄　菊
黄色电影
黄色小电影
回教
回民暴动
回族人吃猪肉
昏药
火棒
鸡芭
基督
激情电影
激情小电影
鸡
计牌软件
计生委
妓
妓院
奸夫淫妇
贱
贱逼
江Core
江八
江八点
江独裁
江核心
江戏子
江择民
江贼民
江折民
江猪
江猪媳
江主席
僵贼民
酱猪媳
交通部
姣西
叫床
叫鸡
叫小姐
教育部
她妈的金日成
禁书
经济社会理事会
经社理事会
警匪一家
敬国神社
靖国神社
静坐
纠察员
鸠
鸠屎
军长发威
军国主义
军妓
靠
靠腰
可待因
可卡叶
恐怖份子
恐怖主义
寇晓伟
狂操
狂操你全家
拉登
懒教
烂B
烂屄
烂比
烂屌
烂货
劳+教+所
劳动保障部
老逼
黎阳评
李弘旨
李红志
李宏旨
李宏志
李鹏*
李山
李铁映
李先念
联大
联合国
联合国大会
联易
联易互动
粮食局
两腿之间
林业局
刘　淇
刘军
流氓
六.四
六。四
六?四
六合彩
六-四
六四事件
六四真相
龙新民
旅游局
卵
轮功
罗　干
骡干
妈卖妈屁
妈批
妈祖
妈B
麻醉钢枪
麻醉枪
麻醉药
麻醉乙醚
马卖马屁
吗啡
吗啡碱
吗啡片
买财富
买卖枪支
麦角酸
卖.国
卖B
卖ID
卖QQ
卖比
卖财富
卖党求荣
卖国
卖国求荣
卖卡
卖软件
毛XX
毛厕洞
毛一鲜
毛贼东
毛主席
梅花网
美国
美国佬
美利坚
蒙尘药
蒙独
蒙古达子
蒙古独立
迷魂药
迷奸药
迷歼药
迷药
密洞
民航局
民政部
莫索里尼
穆斯林
妳妈的
妳马的
南联盟
南蛮子
伱妈
你爸
你大爷
你二大爷
你老母
你老味
你姥
你姥姥的
你妈
你妈的
你娘
你爷爷的
鸟GM
鸟你
牛比
农业部
虐待
拍肩神药
喷你
彭真
皮条
嫖客
苹果日报
破坏
气象局
钱其琛
枪决女犯
枪决现场
枪支弹药
强卫
强效失意药
强硬发言
乔石
侨办
切七
窃听器
窃听器材
青天白日
去你妈的
全国人大
人大
人大代表
人代会
人弹
人民
人民大会堂
人民广场
人民日报
人民银行
人体炸弹
日GM
日X妈
日本RING
日本鬼子
日你娘
日他娘
肉壁
肉洞
肉缝
肉棍
肉棍子
肉穴
乳
乳波臀浪
撒尿
塞白
塞你爸
塞你公
塞你老母
塞你老师
塞你母
塞你娘
三个呆婊
三个代婊
三级片
三民主义
三陪女
三去车仑
三唑仑
骚
骚逼
色情电影
色情服务
色情小电影
杀人犯
傻屄
傻吊
傻卵
煞逼
商务部
社科院
身份生成器
神通加持法
生鸦片
圣女峰
十八摸
十年动乱石进
食捻屎
食屎
驶你爸
驶你公
驶你老母
驶你老师
驶你母
驶你娘
是鸡
受虐狂
售ID
售号
售软件
双峰微颤
氵去
水利部
水去车仑
税务总局
司法部
私服
私/服
私\\服
私-服
私—服
死gd
死gm
死全家
四川独立
四人帮
宋祖英
他爹
他妈
他马的
他母亲
他祖宗
台办
台湾党
台湾帝国
台湾共产党
台湾共和国
